"Theta_Rows","R_Rows"
"solcap_snp_c1_7381","solcap_snp_c1_7381"
"solcap_snp_c1_7382","solcap_snp_c1_7382"
"solcap_snp_c1_7399","solcap_snp_c1_7399"
"solcap_snp_c1_7400","solcap_snp_c1_7400"
"solcap_snp_c1_7404","solcap_snp_c1_7404"
"solcap_snp_c1_7405","solcap_snp_c1_7405"
"solcap_snp_c1_7407","solcap_snp_c1_7407"
"solcap_snp_c1_7412","solcap_snp_c1_7412"
"solcap_snp_c1_7430","solcap_snp_c1_7430"
"solcap_snp_c1_7442","solcap_snp_c1_7442"
"solcap_snp_c1_7469","solcap_snp_c1_7469"
"solcap_snp_c1_7485","solcap_snp_c1_7485"
"solcap_snp_c1_7489","solcap_snp_c1_7489"
"solcap_snp_c1_7495","solcap_snp_c1_7495"
"solcap_snp_c1_7514","solcap_snp_c1_7514"
"solcap_snp_c1_7515","solcap_snp_c1_7515"
"solcap_snp_c1_7516","solcap_snp_c1_7516"
"solcap_snp_c1_7517","solcap_snp_c1_7517"
"solcap_snp_c1_7520","solcap_snp_c1_7520"
"solcap_snp_c1_7521","solcap_snp_c1_7521"
"solcap_snp_c1_7530","solcap_snp_c1_7530"
"solcap_snp_c1_7562","solcap_snp_c1_7562"
"solcap_snp_c1_7567","solcap_snp_c1_7567"
"solcap_snp_c1_7568","solcap_snp_c1_7568"
"solcap_snp_c1_7569","solcap_snp_c1_7569"
"solcap_snp_c1_7570","solcap_snp_c1_7570"
"solcap_snp_c1_7571","solcap_snp_c1_7571"
"solcap_snp_c1_7574","solcap_snp_c1_7574"
"solcap_snp_c1_758","solcap_snp_c1_758"
"solcap_snp_c1_7621","solcap_snp_c1_7621"
"solcap_snp_c1_7622","solcap_snp_c1_7622"
"solcap_snp_c1_7624","solcap_snp_c1_7624"
"solcap_snp_c1_7632","solcap_snp_c1_7632"
"solcap_snp_c1_7656","solcap_snp_c1_7656"
"solcap_snp_c1_7658","solcap_snp_c1_7658"
"solcap_snp_c1_7666","solcap_snp_c1_7666"
"solcap_snp_c1_7678","solcap_snp_c1_7678"
"solcap_snp_c1_7679","solcap_snp_c1_7679"
"solcap_snp_c1_7680","solcap_snp_c1_7680"
"solcap_snp_c1_7681","solcap_snp_c1_7681"
"solcap_snp_c1_7682","solcap_snp_c1_7682"
"solcap_snp_c1_7688","solcap_snp_c1_7688"
"solcap_snp_c1_7695","solcap_snp_c1_7695"
"solcap_snp_c1_7700","solcap_snp_c1_7700"
"solcap_snp_c1_7704","solcap_snp_c1_7704"
"solcap_snp_c1_7707","solcap_snp_c1_7707"
"solcap_snp_c1_7722","solcap_snp_c1_7722"
"solcap_snp_c1_7739","solcap_snp_c1_7739"
"solcap_snp_c1_7740","solcap_snp_c1_7740"
"solcap_snp_c1_7744","solcap_snp_c1_7744"
"solcap_snp_c1_7746","solcap_snp_c1_7746"
"solcap_snp_c1_7754","solcap_snp_c1_7754"
"solcap_snp_c1_7765","solcap_snp_c1_7765"
"solcap_snp_c1_7766","solcap_snp_c1_7766"
"solcap_snp_c1_7770","solcap_snp_c1_7770"
"solcap_snp_c1_7776","solcap_snp_c1_7776"
"solcap_snp_c1_7777","solcap_snp_c1_7777"
"solcap_snp_c1_7793","solcap_snp_c1_7793"
"solcap_snp_c1_7794","solcap_snp_c1_7794"
"solcap_snp_c1_7801","solcap_snp_c1_7801"
"solcap_snp_c1_7803","solcap_snp_c1_7803"
"solcap_snp_c1_7805","solcap_snp_c1_7805"
"solcap_snp_c1_7829","solcap_snp_c1_7829"
"solcap_snp_c1_7834","solcap_snp_c1_7834"
"solcap_snp_c1_7848","solcap_snp_c1_7848"
"solcap_snp_c1_7867","solcap_snp_c1_7867"
"solcap_snp_c1_7868","solcap_snp_c1_7868"
"solcap_snp_c1_7869","solcap_snp_c1_7869"
"solcap_snp_c1_7870","solcap_snp_c1_7870"
"solcap_snp_c1_7871","solcap_snp_c1_7871"
"solcap_snp_c1_7872","solcap_snp_c1_7872"
"solcap_snp_c1_7873","solcap_snp_c1_7873"
"solcap_snp_c1_7874","solcap_snp_c1_7874"
"solcap_snp_c1_7876","solcap_snp_c1_7876"
"solcap_snp_c1_7882","solcap_snp_c1_7882"
"solcap_snp_c1_7912","solcap_snp_c1_7912"
"solcap_snp_c1_7915","solcap_snp_c1_7915"
"solcap_snp_c1_7935","solcap_snp_c1_7935"
"solcap_snp_c1_7947","solcap_snp_c1_7947"
"solcap_snp_c1_7948","solcap_snp_c1_7948"
"solcap_snp_c1_7957","solcap_snp_c1_7957"
"solcap_snp_c1_7963","solcap_snp_c1_7963"
"solcap_snp_c1_7964","solcap_snp_c1_7964"
"solcap_snp_c1_7973","solcap_snp_c1_7973"
"solcap_snp_c1_7980","solcap_snp_c1_7980"
"solcap_snp_c1_7989","solcap_snp_c1_7989"
"solcap_snp_c1_7990","solcap_snp_c1_7990"
"solcap_snp_c1_7991","solcap_snp_c1_7991"
"solcap_snp_c1_7992","solcap_snp_c1_7992"
"solcap_snp_c1_7993","solcap_snp_c1_7993"
"solcap_snp_c1_7994","solcap_snp_c1_7994"
"solcap_snp_c1_7999","solcap_snp_c1_7999"
"solcap_snp_c1_8","solcap_snp_c1_8"
"solcap_snp_c1_8002","solcap_snp_c1_8002"
"solcap_snp_c1_8004","solcap_snp_c1_8004"
"solcap_snp_c1_8013","solcap_snp_c1_8013"
"solcap_snp_c1_8018","solcap_snp_c1_8018"
"solcap_snp_c1_8019","solcap_snp_c1_8019"
"solcap_snp_c1_8020","solcap_snp_c1_8020"
"solcap_snp_c1_8021","solcap_snp_c1_8021"
"solcap_snp_c1_8036","solcap_snp_c1_8036"
"solcap_snp_c1_805","solcap_snp_c1_805"
"solcap_snp_c1_8058","solcap_snp_c1_8058"
"solcap_snp_c1_8059","solcap_snp_c1_8059"
"solcap_snp_c1_8069","solcap_snp_c1_8069"
"solcap_snp_c1_8084","solcap_snp_c1_8084"
"solcap_snp_c1_8091","solcap_snp_c1_8091"
"solcap_snp_c1_8113","solcap_snp_c1_8113"
"solcap_snp_c1_8118","solcap_snp_c1_8118"
"solcap_snp_c1_812","solcap_snp_c1_812"
"solcap_snp_c1_8125","solcap_snp_c1_8125"
"solcap_snp_c1_8127","solcap_snp_c1_8127"
"solcap_snp_c1_8128","solcap_snp_c1_8128"
"solcap_snp_c1_8129","solcap_snp_c1_8129"
"solcap_snp_c1_8131","solcap_snp_c1_8131"
"solcap_snp_c1_8132","solcap_snp_c1_8132"
"solcap_snp_c1_8133","solcap_snp_c1_8133"
"solcap_snp_c1_8136","solcap_snp_c1_8136"
"solcap_snp_c1_8140","solcap_snp_c1_8140"
"solcap_snp_c1_8144","solcap_snp_c1_8144"
"solcap_snp_c1_8150","solcap_snp_c1_8150"
"solcap_snp_c1_816","solcap_snp_c1_816"
"solcap_snp_c1_8164","solcap_snp_c1_8164"
"solcap_snp_c1_8173","solcap_snp_c1_8173"
"solcap_snp_c1_8186","solcap_snp_c1_8186"
"solcap_snp_c1_819","solcap_snp_c1_819"
"solcap_snp_c1_8194","solcap_snp_c1_8194"
"solcap_snp_c1_8203","solcap_snp_c1_8203"
"solcap_snp_c1_821","solcap_snp_c1_821"
"solcap_snp_c1_8210","solcap_snp_c1_8210"
"solcap_snp_c1_8212","solcap_snp_c1_8212"
"solcap_snp_c1_8215","solcap_snp_c1_8215"
"solcap_snp_c1_822","solcap_snp_c1_822"
"solcap_snp_c1_823","solcap_snp_c1_823"
"solcap_snp_c1_8235","solcap_snp_c1_8235"
"solcap_snp_c1_8237","solcap_snp_c1_8237"
"solcap_snp_c1_8255","solcap_snp_c1_8255"
"solcap_snp_c1_8282","solcap_snp_c1_8282"
"solcap_snp_c1_8291","solcap_snp_c1_8291"
"solcap_snp_c1_8293","solcap_snp_c1_8293"
"solcap_snp_c1_8297","solcap_snp_c1_8297"
"solcap_snp_c1_8300","solcap_snp_c1_8300"
"solcap_snp_c1_8316","solcap_snp_c1_8316"
"solcap_snp_c1_8319","solcap_snp_c1_8319"
"solcap_snp_c1_8323","solcap_snp_c1_8323"
"solcap_snp_c1_8328","solcap_snp_c1_8328"
"solcap_snp_c1_8330","solcap_snp_c1_8330"
"solcap_snp_c1_8334","solcap_snp_c1_8334"
"solcap_snp_c1_8335","solcap_snp_c1_8335"
"solcap_snp_c1_8337","solcap_snp_c1_8337"
"solcap_snp_c1_8341","solcap_snp_c1_8341"
"solcap_snp_c1_8344","solcap_snp_c1_8344"
"solcap_snp_c1_8346","solcap_snp_c1_8346"
"solcap_snp_c1_8347","solcap_snp_c1_8347"
"solcap_snp_c1_8348","solcap_snp_c1_8348"
"solcap_snp_c1_8353","solcap_snp_c1_8353"
"solcap_snp_c1_8354","solcap_snp_c1_8354"
"solcap_snp_c1_8358","solcap_snp_c1_8358"
"solcap_snp_c1_836","solcap_snp_c1_836"
"solcap_snp_c1_8362","solcap_snp_c1_8362"
"solcap_snp_c1_8367","solcap_snp_c1_8367"
"solcap_snp_c1_8368","solcap_snp_c1_8368"
"solcap_snp_c1_838","solcap_snp_c1_838"
"solcap_snp_c1_8380","solcap_snp_c1_8380"
"solcap_snp_c1_8390","solcap_snp_c1_8390"
"solcap_snp_c1_8404","solcap_snp_c1_8404"
"solcap_snp_c1_8405","solcap_snp_c1_8405"
"solcap_snp_c1_8415","solcap_snp_c1_8415"
"solcap_snp_c1_8427","solcap_snp_c1_8427"
"solcap_snp_c1_8437","solcap_snp_c1_8437"
"solcap_snp_c1_8490","solcap_snp_c1_8490"
"solcap_snp_c1_8508","solcap_snp_c1_8508"
"solcap_snp_c1_8516","solcap_snp_c1_8516"
"solcap_snp_c1_8518","solcap_snp_c1_8518"
"solcap_snp_c1_8522","solcap_snp_c1_8522"
"solcap_snp_c1_8534","solcap_snp_c1_8534"
"solcap_snp_c1_8535","solcap_snp_c1_8535"
"solcap_snp_c1_8541","solcap_snp_c1_8541"
"solcap_snp_c1_8549","solcap_snp_c1_8549"
"solcap_snp_c1_8560","solcap_snp_c1_8560"
"solcap_snp_c1_8566","solcap_snp_c1_8566"
"solcap_snp_c1_8570","solcap_snp_c1_8570"
"solcap_snp_c1_8572","solcap_snp_c1_8572"
"solcap_snp_c1_8573","solcap_snp_c1_8573"
"solcap_snp_c1_8574","solcap_snp_c1_8574"
"solcap_snp_c1_8575","solcap_snp_c1_8575"
"solcap_snp_c1_8581","solcap_snp_c1_8581"
"solcap_snp_c1_859","solcap_snp_c1_859"
"solcap_snp_c1_8592","solcap_snp_c1_8592"
"solcap_snp_c1_8593","solcap_snp_c1_8593"
"solcap_snp_c1_8594","solcap_snp_c1_8594"
"solcap_snp_c1_8599","solcap_snp_c1_8599"
"solcap_snp_c1_8601","solcap_snp_c1_8601"
"solcap_snp_c1_8603","solcap_snp_c1_8603"
"solcap_snp_c1_8606","solcap_snp_c1_8606"
"solcap_snp_c1_8619","solcap_snp_c1_8619"
"solcap_snp_c1_8631","solcap_snp_c1_8631"
"solcap_snp_c1_8632","solcap_snp_c1_8632"
"solcap_snp_c1_8635","solcap_snp_c1_8635"
"solcap_snp_c1_8641","solcap_snp_c1_8641"
"solcap_snp_c1_8642","solcap_snp_c1_8642"
"solcap_snp_c1_8646","solcap_snp_c1_8646"
"solcap_snp_c1_8659","solcap_snp_c1_8659"
"solcap_snp_c1_8674","solcap_snp_c1_8674"
"solcap_snp_c1_8679","solcap_snp_c1_8679"
"solcap_snp_c1_868","solcap_snp_c1_868"
"solcap_snp_c1_8681","solcap_snp_c1_8681"
"solcap_snp_c1_8686","solcap_snp_c1_8686"
"solcap_snp_c1_8701","solcap_snp_c1_8701"
"solcap_snp_c1_8707","solcap_snp_c1_8707"
"solcap_snp_c1_8708","solcap_snp_c1_8708"
"solcap_snp_c1_8709","solcap_snp_c1_8709"
"solcap_snp_c1_8713","solcap_snp_c1_8713"
"solcap_snp_c1_8723","solcap_snp_c1_8723"
"solcap_snp_c1_8754","solcap_snp_c1_8754"
"solcap_snp_c1_8759","solcap_snp_c1_8759"
"solcap_snp_c1_8760","solcap_snp_c1_8760"
"solcap_snp_c1_8761","solcap_snp_c1_8761"
"solcap_snp_c1_8763","solcap_snp_c1_8763"
"solcap_snp_c1_8764","solcap_snp_c1_8764"
"solcap_snp_c1_8765","solcap_snp_c1_8765"
"solcap_snp_c1_8766","solcap_snp_c1_8766"
"solcap_snp_c1_8769","solcap_snp_c1_8769"
"solcap_snp_c1_880","solcap_snp_c1_880"
"solcap_snp_c1_8819","solcap_snp_c1_8819"
"solcap_snp_c1_8829","solcap_snp_c1_8829"
"solcap_snp_c1_8830","solcap_snp_c1_8830"
"solcap_snp_c1_8834","solcap_snp_c1_8834"
"solcap_snp_c1_8838","solcap_snp_c1_8838"
"solcap_snp_c1_8854","solcap_snp_c1_8854"
"solcap_snp_c1_8861","solcap_snp_c1_8861"
"solcap_snp_c1_8867","solcap_snp_c1_8867"
"solcap_snp_c1_8883","solcap_snp_c1_8883"
"solcap_snp_c1_890","solcap_snp_c1_890"
"solcap_snp_c1_8908","solcap_snp_c1_8908"
"solcap_snp_c1_8913","solcap_snp_c1_8913"
"solcap_snp_c1_8914","solcap_snp_c1_8914"
"solcap_snp_c1_8944","solcap_snp_c1_8944"
"solcap_snp_c1_8968","solcap_snp_c1_8968"
"solcap_snp_c1_8969","solcap_snp_c1_8969"
"solcap_snp_c1_8970","solcap_snp_c1_8970"
"solcap_snp_c1_8972","solcap_snp_c1_8972"
"solcap_snp_c1_8974","solcap_snp_c1_8974"
"solcap_snp_c1_898","solcap_snp_c1_898"
"solcap_snp_c1_8982","solcap_snp_c1_8982"
"solcap_snp_c1_8997","solcap_snp_c1_8997"
"solcap_snp_c1_8998","solcap_snp_c1_8998"
"solcap_snp_c1_8999","solcap_snp_c1_8999"
"solcap_snp_c1_9","solcap_snp_c1_9"
"solcap_snp_c1_9014","solcap_snp_c1_9014"
"solcap_snp_c1_9025","solcap_snp_c1_9025"
"solcap_snp_c1_9027","solcap_snp_c1_9027"
"solcap_snp_c1_9056","solcap_snp_c1_9056"
"solcap_snp_c1_9058","solcap_snp_c1_9058"
"solcap_snp_c1_9059","solcap_snp_c1_9059"
"solcap_snp_c1_9060","solcap_snp_c1_9060"
"solcap_snp_c1_9075","solcap_snp_c1_9075"
"solcap_snp_c1_9083","solcap_snp_c1_9083"
"solcap_snp_c1_9084","solcap_snp_c1_9084"
"solcap_snp_c1_9103","solcap_snp_c1_9103"
"solcap_snp_c1_9111","solcap_snp_c1_9111"
"solcap_snp_c1_9120","solcap_snp_c1_9120"
"solcap_snp_c1_9129","solcap_snp_c1_9129"
"solcap_snp_c1_914","solcap_snp_c1_914"
"solcap_snp_c1_9141","solcap_snp_c1_9141"
"solcap_snp_c1_9144","solcap_snp_c1_9144"
"solcap_snp_c1_9153","solcap_snp_c1_9153"
"solcap_snp_c1_9161","solcap_snp_c1_9161"
"solcap_snp_c1_9167","solcap_snp_c1_9167"
"solcap_snp_c1_9170","solcap_snp_c1_9170"
"solcap_snp_c1_9174","solcap_snp_c1_9174"
"solcap_snp_c1_9183","solcap_snp_c1_9183"
"solcap_snp_c1_9194","solcap_snp_c1_9194"
"solcap_snp_c1_9204","solcap_snp_c1_9204"
"solcap_snp_c1_9215","solcap_snp_c1_9215"
"solcap_snp_c1_9219","solcap_snp_c1_9219"
"solcap_snp_c1_9220","solcap_snp_c1_9220"
"solcap_snp_c1_9224","solcap_snp_c1_9224"
"solcap_snp_c1_9229","solcap_snp_c1_9229"
"solcap_snp_c1_925","solcap_snp_c1_925"
"solcap_snp_c1_9250","solcap_snp_c1_9250"
"solcap_snp_c1_9268","solcap_snp_c1_9268"
"solcap_snp_c1_9292","solcap_snp_c1_9292"
"solcap_snp_c1_9307","solcap_snp_c1_9307"
"solcap_snp_c1_9356","solcap_snp_c1_9356"
"solcap_snp_c1_9363","solcap_snp_c1_9363"
"solcap_snp_c1_9369","solcap_snp_c1_9369"
"solcap_snp_c1_9374","solcap_snp_c1_9374"
"solcap_snp_c1_9378","solcap_snp_c1_9378"
"solcap_snp_c1_9385","solcap_snp_c1_9385"
"solcap_snp_c1_9386","solcap_snp_c1_9386"
"solcap_snp_c1_9392","solcap_snp_c1_9392"
"solcap_snp_c1_9397","solcap_snp_c1_9397"
"solcap_snp_c1_9398","solcap_snp_c1_9398"
"solcap_snp_c1_9406","solcap_snp_c1_9406"
"solcap_snp_c1_9411","solcap_snp_c1_9411"
"solcap_snp_c1_9413","solcap_snp_c1_9413"
"solcap_snp_c1_9416","solcap_snp_c1_9416"
"solcap_snp_c1_9428","solcap_snp_c1_9428"
"solcap_snp_c1_9430","solcap_snp_c1_9430"
"solcap_snp_c1_9434","solcap_snp_c1_9434"
"solcap_snp_c1_946","solcap_snp_c1_946"
"solcap_snp_c1_9476","solcap_snp_c1_9476"
"solcap_snp_c1_9477","solcap_snp_c1_9477"
"solcap_snp_c1_9478","solcap_snp_c1_9478"
"solcap_snp_c1_9490","solcap_snp_c1_9490"
"solcap_snp_c1_9491","solcap_snp_c1_9491"
"solcap_snp_c1_9492","solcap_snp_c1_9492"
"solcap_snp_c1_9499","solcap_snp_c1_9499"
"solcap_snp_c1_9546","solcap_snp_c1_9546"
"solcap_snp_c1_9565","solcap_snp_c1_9565"
"solcap_snp_c1_9566","solcap_snp_c1_9566"
"solcap_snp_c1_9573","solcap_snp_c1_9573"
"solcap_snp_c1_958","solcap_snp_c1_958"
"solcap_snp_c1_9581","solcap_snp_c1_9581"
"solcap_snp_c1_9583","solcap_snp_c1_9583"
"solcap_snp_c1_9584","solcap_snp_c1_9584"
"solcap_snp_c1_9585","solcap_snp_c1_9585"
"solcap_snp_c1_9587","solcap_snp_c1_9587"
"solcap_snp_c1_9601","solcap_snp_c1_9601"
"solcap_snp_c1_9603","solcap_snp_c1_9603"
"solcap_snp_c1_9613","solcap_snp_c1_9613"
"solcap_snp_c1_9614","solcap_snp_c1_9614"
"solcap_snp_c1_9619","solcap_snp_c1_9619"
"solcap_snp_c1_9623","solcap_snp_c1_9623"
"solcap_snp_c1_964","solcap_snp_c1_964"
"solcap_snp_c1_9646","solcap_snp_c1_9646"
"solcap_snp_c1_9651","solcap_snp_c1_9651"
"solcap_snp_c1_9652","solcap_snp_c1_9652"
"solcap_snp_c1_9655","solcap_snp_c1_9655"
"solcap_snp_c1_9660","solcap_snp_c1_9660"
"solcap_snp_c1_9676","solcap_snp_c1_9676"
"solcap_snp_c1_9679","solcap_snp_c1_9679"
"solcap_snp_c1_9691","solcap_snp_c1_9691"
"solcap_snp_c1_9695","solcap_snp_c1_9695"
"solcap_snp_c1_9696","solcap_snp_c1_9696"
"solcap_snp_c1_97","solcap_snp_c1_97"
"solcap_snp_c1_9701","solcap_snp_c1_9701"
"solcap_snp_c1_9717","solcap_snp_c1_9717"
"solcap_snp_c1_9719","solcap_snp_c1_9719"
"solcap_snp_c1_9724","solcap_snp_c1_9724"
"solcap_snp_c1_9728","solcap_snp_c1_9728"
"solcap_snp_c1_973","solcap_snp_c1_973"
"solcap_snp_c1_975","solcap_snp_c1_975"
"solcap_snp_c1_9769","solcap_snp_c1_9769"
"solcap_snp_c1_977","solcap_snp_c1_977"
"solcap_snp_c1_9771","solcap_snp_c1_9771"
"solcap_snp_c1_9776","solcap_snp_c1_9776"
"solcap_snp_c1_9777","solcap_snp_c1_9777"
"solcap_snp_c1_9779","solcap_snp_c1_9779"
"solcap_snp_c1_9785","solcap_snp_c1_9785"
"solcap_snp_c1_9786","solcap_snp_c1_9786"
"solcap_snp_c1_9791","solcap_snp_c1_9791"
"solcap_snp_c1_9799","solcap_snp_c1_9799"
"solcap_snp_c1_9816","solcap_snp_c1_9816"
"solcap_snp_c1_9825","solcap_snp_c1_9825"
"solcap_snp_c1_9834","solcap_snp_c1_9834"
"solcap_snp_c1_9837","solcap_snp_c1_9837"
"solcap_snp_c1_9839","solcap_snp_c1_9839"
"solcap_snp_c1_9846","solcap_snp_c1_9846"
"solcap_snp_c1_9865","solcap_snp_c1_9865"
"solcap_snp_c1_9871","solcap_snp_c1_9871"
"solcap_snp_c1_9878","solcap_snp_c1_9878"
"solcap_snp_c1_988","solcap_snp_c1_988"
"solcap_snp_c1_9898","solcap_snp_c1_9898"
"solcap_snp_c1_99","solcap_snp_c1_99"
"solcap_snp_c1_9900","solcap_snp_c1_9900"
"solcap_snp_c1_9901","solcap_snp_c1_9901"
"solcap_snp_c1_9918","solcap_snp_c1_9918"
"solcap_snp_c1_992","solcap_snp_c1_992"
"solcap_snp_c1_9944","solcap_snp_c1_9944"
"solcap_snp_c1_9995","solcap_snp_c1_9995"
"solcap_snp_c2_1000","solcap_snp_c2_1000"
"solcap_snp_c2_10008","solcap_snp_c2_10008"
"solcap_snp_c2_1001","solcap_snp_c2_1001"
"solcap_snp_c2_10038","solcap_snp_c2_10038"
"solcap_snp_c2_10042","solcap_snp_c2_10042"
"solcap_snp_c2_10047","solcap_snp_c2_10047"
"solcap_snp_c2_10055","solcap_snp_c2_10055"
"solcap_snp_c2_10060","solcap_snp_c2_10060"
"solcap_snp_c2_10087","solcap_snp_c2_10087"
"solcap_snp_c2_10088","solcap_snp_c2_10088"
"solcap_snp_c2_10275","solcap_snp_c2_10275"
"solcap_snp_c2_10287","solcap_snp_c2_10287"
"solcap_snp_c2_10311","solcap_snp_c2_10311"
"solcap_snp_c2_10319","solcap_snp_c2_10319"
"solcap_snp_c2_10338","solcap_snp_c2_10338"
"solcap_snp_c2_10339","solcap_snp_c2_10339"
"solcap_snp_c2_10340","solcap_snp_c2_10340"
"solcap_snp_c2_10341","solcap_snp_c2_10341"
"solcap_snp_c2_10358","solcap_snp_c2_10358"
"solcap_snp_c2_10394","solcap_snp_c2_10394"
"solcap_snp_c2_10409","solcap_snp_c2_10409"
"solcap_snp_c2_10410","solcap_snp_c2_10410"
"solcap_snp_c2_10411","solcap_snp_c2_10411"
"solcap_snp_c2_10443","solcap_snp_c2_10443"
"solcap_snp_c2_10461","solcap_snp_c2_10461"
"solcap_snp_c2_10539","solcap_snp_c2_10539"
"solcap_snp_c2_10546","solcap_snp_c2_10546"
"solcap_snp_c2_10547","solcap_snp_c2_10547"
"solcap_snp_c2_10548","solcap_snp_c2_10548"
"solcap_snp_c2_10563","solcap_snp_c2_10563"
"solcap_snp_c2_10565","solcap_snp_c2_10565"
"solcap_snp_c2_10566","solcap_snp_c2_10566"
"solcap_snp_c2_10567","solcap_snp_c2_10567"
"solcap_snp_c2_10568","solcap_snp_c2_10568"
"solcap_snp_c2_10612","solcap_snp_c2_10612"
"solcap_snp_c2_10613","solcap_snp_c2_10613"
"solcap_snp_c2_10614","solcap_snp_c2_10614"
"solcap_snp_c2_10615","solcap_snp_c2_10615"
"solcap_snp_c2_10616","solcap_snp_c2_10616"
"solcap_snp_c2_10617","solcap_snp_c2_10617"
"solcap_snp_c2_10618","solcap_snp_c2_10618"
"solcap_snp_c2_10656","solcap_snp_c2_10656"
"solcap_snp_c2_10658","solcap_snp_c2_10658"
"solcap_snp_c2_10659","solcap_snp_c2_10659"
"solcap_snp_c2_1066","solcap_snp_c2_1066"
"solcap_snp_c2_10681","solcap_snp_c2_10681"
"solcap_snp_c2_10682","solcap_snp_c2_10682"
"solcap_snp_c2_10683","solcap_snp_c2_10683"
"solcap_snp_c2_10685","solcap_snp_c2_10685"
"solcap_snp_c2_10686","solcap_snp_c2_10686"
"solcap_snp_c2_10687","solcap_snp_c2_10687"
"solcap_snp_c2_10688","solcap_snp_c2_10688"
"solcap_snp_c2_10689","solcap_snp_c2_10689"
"solcap_snp_c2_10690","solcap_snp_c2_10690"
"solcap_snp_c2_10691","solcap_snp_c2_10691"
"solcap_snp_c2_10692","solcap_snp_c2_10692"
"solcap_snp_c2_10693","solcap_snp_c2_10693"
"solcap_snp_c2_10694","solcap_snp_c2_10694"
"solcap_snp_c2_1077","solcap_snp_c2_1077"
"solcap_snp_c2_10771","solcap_snp_c2_10771"
"solcap_snp_c2_10772","solcap_snp_c2_10772"
"solcap_snp_c2_10797","solcap_snp_c2_10797"
"solcap_snp_c2_10798","solcap_snp_c2_10798"
"solcap_snp_c2_10799","solcap_snp_c2_10799"
"solcap_snp_c2_10800","solcap_snp_c2_10800"
"solcap_snp_c2_10801","solcap_snp_c2_10801"
"solcap_snp_c2_10802","solcap_snp_c2_10802"
"solcap_snp_c2_10819","solcap_snp_c2_10819"
"solcap_snp_c2_10820","solcap_snp_c2_10820"
"solcap_snp_c2_10840","solcap_snp_c2_10840"
"solcap_snp_c2_10841","solcap_snp_c2_10841"
"solcap_snp_c2_10877","solcap_snp_c2_10877"
"solcap_snp_c2_10896","solcap_snp_c2_10896"
"solcap_snp_c2_1090","solcap_snp_c2_1090"
"solcap_snp_c2_10906","solcap_snp_c2_10906"
"solcap_snp_c2_1091","solcap_snp_c2_1091"
"solcap_snp_c2_1092","solcap_snp_c2_1092"
"solcap_snp_c2_1093","solcap_snp_c2_1093"
"solcap_snp_c2_1094","solcap_snp_c2_1094"
"solcap_snp_c2_1095","solcap_snp_c2_1095"
"solcap_snp_c2_10956","solcap_snp_c2_10956"
"solcap_snp_c2_10957","solcap_snp_c2_10957"
"solcap_snp_c2_10958","solcap_snp_c2_10958"
"solcap_snp_c2_10959","solcap_snp_c2_10959"
"solcap_snp_c2_1096","solcap_snp_c2_1096"
"solcap_snp_c2_10960","solcap_snp_c2_10960"
"solcap_snp_c2_10961","solcap_snp_c2_10961"
"solcap_snp_c2_10962","solcap_snp_c2_10962"
"solcap_snp_c2_10963","solcap_snp_c2_10963"
"solcap_snp_c2_10964","solcap_snp_c2_10964"
"solcap_snp_c2_10966","solcap_snp_c2_10966"
"solcap_snp_c2_1097","solcap_snp_c2_1097"
"solcap_snp_c2_1098","solcap_snp_c2_1098"
"solcap_snp_c2_1099","solcap_snp_c2_1099"
"solcap_snp_c2_1100","solcap_snp_c2_1100"
"solcap_snp_c2_11005","solcap_snp_c2_11005"
"solcap_snp_c2_11006","solcap_snp_c2_11006"
"solcap_snp_c2_1101","solcap_snp_c2_1101"
"solcap_snp_c2_11018","solcap_snp_c2_11018"
"solcap_snp_c2_1102","solcap_snp_c2_1102"
"solcap_snp_c2_11020","solcap_snp_c2_11020"
"solcap_snp_c2_11021","solcap_snp_c2_11021"
"solcap_snp_c2_1103","solcap_snp_c2_1103"
"solcap_snp_c2_1104","solcap_snp_c2_1104"
"solcap_snp_c2_1105","solcap_snp_c2_1105"
"solcap_snp_c2_1106","solcap_snp_c2_1106"
"solcap_snp_c2_1108","solcap_snp_c2_1108"
"solcap_snp_c2_1109","solcap_snp_c2_1109"
"solcap_snp_c2_11101","solcap_snp_c2_11101"
"solcap_snp_c2_11104","solcap_snp_c2_11104"
"solcap_snp_c2_11107","solcap_snp_c2_11107"
"solcap_snp_c2_1113","solcap_snp_c2_1113"
"solcap_snp_c2_11211","solcap_snp_c2_11211"
"solcap_snp_c2_11224","solcap_snp_c2_11224"
"solcap_snp_c2_11253","solcap_snp_c2_11253"
"solcap_snp_c2_11260","solcap_snp_c2_11260"
"solcap_snp_c2_11269","solcap_snp_c2_11269"
"solcap_snp_c2_11270","solcap_snp_c2_11270"
"solcap_snp_c2_11271","solcap_snp_c2_11271"
"solcap_snp_c2_11272","solcap_snp_c2_11272"
"solcap_snp_c2_11273","solcap_snp_c2_11273"
"solcap_snp_c2_11286","solcap_snp_c2_11286"
"solcap_snp_c2_11287","solcap_snp_c2_11287"
"solcap_snp_c2_11289","solcap_snp_c2_11289"
"solcap_snp_c2_11293","solcap_snp_c2_11293"
"solcap_snp_c2_11294","solcap_snp_c2_11294"
"solcap_snp_c2_11303","solcap_snp_c2_11303"
"solcap_snp_c2_11309","solcap_snp_c2_11309"
"solcap_snp_c2_11310","solcap_snp_c2_11310"
